OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM FM32,1999-065C,2026-01-02T01:28:46.362144,14.36798758,.000644,45.0145,239.3932,314.5455,45.4867,0,U,25982,999,36319,.57101E-3,.156E-4,0
XMM-NEWTON,1999-066A,2026-01-01T19:26:14.918496,0.50130166,.4736861,65.3336,285.1843,67.8390,0.0844,0,U,25989,999,2217,0,.91E-6,0
TERRA,1999-068A,2026-01-02T03:18:13.891392,14.60929196,.000312,97.9720,58.0706,52.9730,332.1345,0,U,25994,999,38536,.19403E-3,.906E-5,0
ASIASTAR,2000-016A,2026-01-02T03:01:54.291648,1.00272497,.0005255,8.7430,59.9148,221.6233,330.7161,0,U,26107,999,9425,0,-.334E-5,0
IMAGE,2000-017A,2025-12-30T21:20:21.831648,1.68665240,.75601206,94.0542,313.0054,307.2159,5.2834,0,U,26113,999,15866,-.1117677E-1,-.315E-5,0
USA 149 (DSP 20),2000-024A,2026-01-01T17:11:17.249568,1.00271278,.00009254,13.0442,13.0186,223.6654,317.1366,0,U,26356,999,3124,0,.95E-6,0
NAVSTAR 47 (USA 150),2000-025A,2026-01-02T01:22:29.583840,2.00565772,.0038886,55.0574,26.0162,243.9349,124.5142,0,U,26360,999,18794,0,-.64E-6,0
TDRS 8,2000-034A,2026-01-02T01:13:34.666752,1.00268386,.0004493,12.4204,32.7108,266.7441,265.4070,0,U,26388,999,9351,0,-.196E-5,0
NAVSTAR 48 (USA 151),2000-040A,2026-01-02T00:12:29.177856,2.00568127,.0124937,54.8865,221.7627,302.1186,231.0104,0,U,26407,999,18661,0,.91E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-01-02T23:46:01.288416,0.44853204,.8797858,148.0293,27.5646,243.3421,359.6303,0,U,26410,999,1957,0,.9096E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-01-01T18:37:28.839936,0.44416819,.88025173,148.2980,28.0624,243.7036,359.4956,0,U,26464,999,1955,0,.7639E-4,0
NSS-11,2000-059A,2026-01-02T03:18:51.706080,1.00270222,.0003329,1.6973,83.4307,195.5700,48.4885,0,U,26554,999,3962,0,.31E-6,0
USA 153,2000-065A,2026-01-01T22:02:12.615648,1.00277906,.0001855,11.3377,36.7736,254.5058,275.1430,0,U,26575,999,3126,0,-.325E-5,0
AMC-6,2000-067A,2026-01-02T01:39:38.664864,1.00271823,.0003062,0.0364,311.9703,324.0410,75.5718,0,U,26580,999,9222,0,.97E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-01-01T02:52:56.798112,2.00573001,.01701628,55.5286,101.5569,264.5595,269.5257,0,U,26605,999,18416,0,-.31E-6,0
ODIN,2001-007A,2026-01-01T15:09:55.095552,15.52713941,.00051759,97.4187,35.1986,62.7290,297.4489,0,U,26702,999,36341,.84837964E-3,.52553E-3,0
USA 157 (MILSTAR-2 2),2001-009A,2026-01-01T17:15:32.572800,1.00275539,.00414992,11.3582,20.7725,185.5552,3.8646,0,U,26715,999,3127,0,.111E-5,0
BSAT-2A,2001-011B,2026-01-01T17:15:55.036800,0.99178084,.00081722,10.3789,49.0070,213.2900,308.7341,0,U,26720,999,9032,0,.31E-6,0
INTELSAT 10 (IS-10),2001-019A,2026-01-01T18:13:19.537824,0.99072474,.0008422,8.6766,60.9535,232.8645,133.3621,0,U,26766,999,4393,0,.77E-6,0
OMNI-M1,2001-026A,2025-12-30T01:02:21.440544,3.92402701,.00175828,44.9046,284.2282,6.7157,353.3475,0,U,26857,999,19893,0,-.24E-6,0
USA 159 (DSP 21),2001-033A,2026-01-01T21:09:55.124928,1.00273011,.00008843,12.6292,17.5921,259.9101,92.4377,0,U,26880,999,3129,0,-.298E-5,0
INTELSAT 902 (IS-902),2001-039A,2026-01-01T02:40:38.724384,1.00271822,.0004437,5.6958,73.8426,210.2441,166.7379,0,U,26900,999,8902,0,-.276E-5,0
PCSAT (NO-44),2001-043C,2026-01-02T03:10:40.014048,14.31869536,.0007362,67.0519,313.7410,268.7846,91.2413,0,U,26931,999,26667,.1981E-3,.448E-5,0
PROBA-1,2001-049B,2026-01-02T03:38:43.733184,15.06601066,.0055296,97.9584,4.9869,325.3756,34.3874,0,U,26958,999,31861,.33923E-3,.5131E-4,0
TIMED,2001-055B,2026-01-01T23:47:02.251392,14.94760844,.0000205,74.0673,209.5322,284.8442,75.2720,0,U,26998,999,30598,.24453E-3,.262E-4,0
MAROC-TUBSAT,2001-056D,2026-01-02T02:50:03.516864,13.70254082,.001951,99.7923,175.9209,206.3974,265.4313,0,U,27004,999,20344,.43931E-4,-.8E-7,0
COSMOS 2385,2001-058B,2026-01-02T04:31:18.688800,12.60560881,.0005014,82.5387,326.0208,247.9745,241.2490,0,U,27056,999,10486,-.16442E-3,-.18E-6,0
COSMOS 2386,2001-058C,2026-01-01T22:49:07.519008,12.61611913,.0001452,82.5459,320.5991,78.5321,281.5932,0,U,27057,999,10554,.20429E-5,.11E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-01-01T18:03:50.446944,1.00266360,.00971718,10.9801,22.8897,3.0306,5.4725,0,U,27168,999,3129,0,.99E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-01-02T01:03:38.596608,1.00270413,.0002656,6.5048,71.1939,254.2169,120.7058,0,U,27380,999,5010,0,-.223E-5,0
AQUA,2002-022A,2025-12-31T22:14:01.933728,14.61783896,.0001962,98.4058,327.1196,94.7781,340.6230,0,U,27424,999,25883,.42628E-3,.2078E-4,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-01-01T20:52:26.799168,1.00271492,.0003794,4.4528,77.4097,216.1833,10.9141,0,U,27426,999,8645,0,-.52E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-01-01T19:01:52.389408,1.00273229,.00030778,6.3352,71.8197,214.3380,323.5498,0,U,27438,999,4969,0,.97E-6,0
GALAXY 3C (G-3C),2002-030A,2026-01-01T22:39:31.542912,1.00270840,.00010082,3.3133,80.2801,105.7102,160.6188,0,U,27445,999,4482,0,-.146E-5,0
COSMOS 2390,2002-036A,2026-01-01T23:11:35.036736,12.44619163,.00244596,82.4836,88.9042,261.3560,98.4750,0,U,27464,999,6699,-.7496412E-4,-.1E-7,0
COSMOS 2391,2002-036B,2026-01-01T22:41:50.335008,12.44940763,.00253453,82.4832,85.5175,255.5017,104.3252,0,U,27465,999,6716,-.73193967E-4,-.1E-7,0
INTELSAT 906 (IS-906),2002-041A,2026-01-01T19:59:24.377856,1.00272230,.0006126,5.3804,74.9931,208.0331,182.4380,0,U,27513,999,8536,0,.17E-6,0
LATINSAT B,2002-058B,2026-01-02T01:20:01.698144,14.76680596,.0082112,64.5561,39.7012,302.6928,56.6274,0,U,27606,999,23756,.30844E-3,.2138E-4,0
SAUDISAT 1C (SO-50),2002-058C,2026-01-02T04:16:54.339744,14.82497032,.0073078,64.5546,282.4241,292.7694,66.5701,0,U,27607,999,23984,.43286E-3,.3499E-4,0
LATINSAT A,2002-058H,2025-12-17T18:21:16.407072,14.84971300,.00571123,64.5529,164.8262,275.0596,84.3994,0,U,27612,999,24068,.12654486E-3,.956E-5,0
NIMIQ 2,2002-062A,2026-01-01T16:22:38.758656,1.00270614,.00065581,9.0615,58.6405,224.6905,314.4626,0,U,27632,999,4251,0,-.67E-6,0
CORIOLIS,2003-001A,2026-01-02T00:54:04.351104,14.19882004,.0013577,98.7138,11.4543,335.5561,24.4970,0,U,27640,999,19064,.16177E-3,.3E-5,0
SORCE,2003-004A,2026-01-01T17:06:41.156640,15.02471626,.00178347,39.9900,130.6832,293.4303,66.4616,0,U,27651,999,24684,.5697609E-3,.7577E-4,0
